TicketID,DateReceived,Resolution Time,ResponseTime(In Hrs),SLAStatus,IssueCategory,ReceivedTimeOfDay,AssignedAgent,Escalated,UserSatisfaction,Status
1556,19-03-2024,28-03-2024,3,Yes,Software,Afternoon,Agent5,Yes,4,Open
1557,11-12-2024,15-12-2024,5,No,Hardware,Afternoon,Agent12,No,4,Pending
1558,09-10-2024,21-10-2024,3,Yes,Hardware,Morning,Agent19,Yes,4,Closed
1559,13-05-2024,28-05-2024,5,Yes,Hardware,Night,Agent6,No,1,Open
1560,28-07-2024,07-08-2024,2,Yes,Hardware,Evening,Agent4,No,2,Closed
1561,12-07-2024,24-07-2024,2,Yes,Account,Evening,Agent12,No,4,Open
1562,21-09-2024,01-10-2024,4,No,Account,Evening,Agent2,Yes,2,Pending
1563,21-03-2024,04-04-2024,1,No,Network,Night,Agent2,No,4,Closed
1564,18-01-2024,27-01-2024,3,Yes,Hardware,Night,Agent16,No,2,Closed
1565,28-12-2024,02-01-2025,1,Yes,Network,Morning,Agent9,No,1,Open
1566,13-10-2024,20-10-2024,3,Yes,Account,Night,Agent13,No,1,Closed
1567,27-06-2024,06-07-2024,4,Yes,Software,Morning,Agent11,Yes,4,Closed
1568,19-05-2024,31-05-2024,2,Yes,Account,Night,Agent17,No,1,Pending
1569,05-10-2024,11-10-2024,4,No,Software,Morning,Agent14,No,3,Open
1570,08-10-2024,12-10-2024,1,Yes,Account,Evening,Agent4,No,4,Closed
1571,03-01-2024,09-01-2024,4,No,Software,Evening,Agent16,Yes,2,Closed
1572,25-01-2024,29-01-2024,1,Yes,Software,Afternoon,Agent1,No,5,Closed
1573,29-11-2024,14-12-2024,3,No,Software,Afternoon,Agent16,Yes,4,Pending
1574,09-08-2024,14-08-2024,4,Yes,Software,Morning,Agent17,Yes,3,Closed
1575,07-11-2024,19-11-2024,3,No,Network,Afternoon,Agent4,No,5,Pending
1576,04-01-2024,11-01-2024,1,No,Software,Night,Agent3,No,5,Closed
1577,08-06-2024,18-06-2024,1,No,Account,Morning,Agent5,Yes,4,Pending
1578,29-07-2024,12-08-2024,2,No,Account,Night,Agent20,No,5,Pending
1579,30-09-2024,05-10-2024,4,No,Hardware,Afternoon,Agent3,Yes,5,Open
1580,14-02-2024,18-02-2024,1,Yes,Software,Evening,Agent11,Yes,3,Closed
1581,31-08-2024,08-09-2024,5,Yes,Network,Evening,Agent16,No,1,Pending
1582,17-02-2024,22-02-2024,2,Yes,Software,Afternoon,Agent1,Yes,4,Pending
1583,09-03-2024,17-03-2024,4,Yes,Account,Night,Agent16,No,1,Pending
1584,01-02-2024,15-02-2024,1,Yes,Account,Afternoon,Agent11,Yes,1,Closed
1585,07-12-2024,22-12-2024,2,No,Network,Afternoon,Agent11,Yes,3,Closed
1586,12-08-2024,25-08-2024,3,Yes,Hardware,Morning,Agent19,No,2,Open
1587,05-02-2024,17-02-2024,3,Yes,Network,Morning,Agent3,Yes,4,Closed
1588,02-07-2024,09-07-2024,4,Yes,Hardware,Afternoon,Agent5,Yes,1,Closed
1589,24-05-2024,05-06-2024,5,No,Hardware,Morning,Agent20,Yes,3,Pending
1590,10-09-2024,18-09-2024,3,Yes,Software,Morning,Agent17,Yes,3,Closed
1591,21-03-2024,27-03-2024,4,No,Hardware,Night,Agent11,Yes,5,Closed
1592,03-11-2024,10-11-2024,3,No,Network,Evening,Agent17,No,4,Open
1593,01-07-2024,06-07-2024,1,Yes,Account,Afternoon,Agent17,No,3,Closed
1594,24-01-2024,08-02-2024,2,No,Software,Night,Agent13,No,3,Open
1595,20-06-2024,24-06-2024,1,Yes,Software,Evening,Agent12,Yes,5,Closed
1596,12-06-2024,21-06-2024,5,No,Network,Afternoon,Agent15,No,1,Closed
1597,16-04-2024,30-04-2024,2,Yes,Network,Evening,Agent16,No,1,Closed
1598,23-05-2024,07-06-2024,3,No,Hardware,Evening,Agent12,No,3,Closed
1599,06-05-2024,17-05-2024,4,Yes,Account,Evening,Agent11,Yes,2,Closed
1600,09-02-2024,21-02-2024,1,No,Account,Afternoon,Agent3,No,2,Open
1601,17-07-2024,26-07-2024,4,Yes,Account,Evening,Agent16,Yes,3,Closed
1602,11-12-2024,23-12-2024,1,Yes,Network,Afternoon,Agent12,Yes,4,Open
1603,03-03-2024,14-03-2024,2,Yes,Network,Afternoon,Agent3,Yes,1,Closed
1604,09-07-2024,17-07-2024,3,Yes,Network,Morning,Agent14,Yes,4,Open
1605,30-09-2024,15-10-2024,4,No,Account,Morning,Agent6,No,1,Pending
1606,06-12-2024,11-12-2024,4,Yes,Hardware,Afternoon,Agent1,Yes,2,Closed
1607,12-11-2024,27-11-2024,2,No,Account,Morning,Agent11,Yes,3,Pending
1608,21-10-2024,01-11-2024,2,No,Account,Evening,Agent12,Yes,3,Pending
1609,11-02-2024,21-02-2024,5,No,Account,Night,Agent15,Yes,1,Closed
1610,19-04-2024,01-05-2024,1,No,Network,Morning,Agent7,No,4,Closed
1611,11-08-2024,16-08-2024,4,Yes,Hardware,Afternoon,Agent9,Yes,3,Open
1612,23-09-2024,08-10-2024,3,No,Hardware,Morning,Agent4,Yes,1,Closed
1613,26-01-2024,02-02-2024,2,No,Hardware,Afternoon,Agent14,No,3,Open
1614,02-02-2024,13-02-2024,4,No,Account,Evening,Agent8,No,2,Open
1615,29-02-2024,14-03-2024,2,Yes,Account,Night,Agent9,No,3,Pending
1616,05-12-2024,15-12-2024,2,No,Network,Morning,Agent5,Yes,2,Open
1617,15-10-2024,21-10-2024,4,No,Account,Afternoon,Agent2,Yes,5,Pending
1618,19-01-2024,28-01-2024,2,No,Account,Afternoon,Agent7,No,1,Closed
1619,18-04-2024,26-04-2024,2,No,Software,Night,Agent18,No,3,Pending
1620,02-05-2024,07-05-2024,2,Yes,Network,Morning,Agent3,Yes,3,Closed
1621,02-06-2024,16-06-2024,1,No,Software,Morning,Agent18,Yes,2,Open
1622,12-08-2024,16-08-2024,2,No,Network,Morning,Agent16,No,1,Closed
1623,02-04-2024,10-04-2024,4,Yes,Network,Night,Agent8,Yes,4,Pending
1624,25-01-2024,04-02-2024,2,No,Account,Morning,Agent6,Yes,3,Open
1625,07-01-2024,14-01-2024,2,No,Software,Evening,Agent12,Yes,5,Pending
1626,02-09-2024,14-09-2024,2,No,Software,Night,Agent20,Yes,2,Open
1627,27-06-2024,10-07-2024,2,No,Software,Afternoon,Agent16,Yes,3,Open
1628,02-09-2024,11-09-2024,3,No,Account,Afternoon,Agent3,Yes,4,Open
1629,12-11-2024,17-11-2024,4,Yes,Network,Evening,Agent11,Yes,3,Closed
1630,19-10-2024,29-10-2024,3,Yes,Network,Afternoon,Agent20,No,1,Pending
1631,26-10-2024,09-11-2024,5,Yes,Network,Night,Agent20,Yes,3,Open
1632,15-05-2024,29-05-2024,1,No,Hardware,Morning,Agent2,Yes,1,Closed
1633,25-03-2024,04-04-2024,2,Yes,Network,Afternoon,Agent5,Yes,4,Pending
1634,14-02-2024,26-02-2024,2,No,Account,Morning,Agent2,No,2,Pending
1635,08-04-2024,19-04-2024,1,No,Network,Night,Agent8,No,4,Closed
1636,27-01-2024,06-02-2024,2,Yes,Hardware,Afternoon,Agent18,Yes,3,Open
1637,01-01-2024,06-01-2024,1,No,Account,Night,Agent20,No,1,Open
1638,22-05-2024,29-05-2024,4,No,Hardware,Evening,Agent3,No,2,Pending
1639,26-08-2024,07-09-2024,5,Yes,Account,Afternoon,Agent6,No,4,Closed
1640,08-03-2024,19-03-2024,1,No,Software,Morning,Agent3,No,1,Open
1641,23-04-2024,06-05-2024,5,Yes,Network,Evening,Agent2,No,5,Closed
1642,29-04-2024,14-05-2024,2,Yes,Hardware,Night,Agent10,No,5,Open
1643,25-05-2024,07-06-2024,3,No,Hardware,Night,Agent20,No,3,Pending
1644,03-01-2024,16-01-2024,5,Yes,Network,Morning,Agent7,No,1,Closed
1645,23-02-2024,09-03-2024,4,Yes,Hardware,Afternoon,Agent8,No,2,Open
1646,26-10-2024,04-11-2024,5,No,Hardware,Afternoon,Agent8,No,1,Closed
1647,03-05-2024,18-05-2024,4,Yes,Account,Morning,Agent16,Yes,1,Open
1648,24-06-2024,02-07-2024,3,No,Account,Morning,Agent19,Yes,3,Pending
1649,13-10-2024,27-10-2024,5,No,Network,Afternoon,Agent11,No,3,Pending
1650,05-05-2024,14-05-2024,5,Yes,Network,Evening,Agent10,Yes,1,Closed
1651,21-12-2024,27-12-2024,4,Yes,Software,Morning,Agent7,Yes,3,Pending
1652,30-07-2024,11-08-2024,1,Yes,Software,Night,Agent5,No,3,Closed
1653,28-08-2024,11-09-2024,4,No,Hardware,Evening,Agent11,Yes,4,Pending
1654,01-03-2024,13-03-2024,2,No,Hardware,Morning,Agent11,No,1,Pending
1655,14-05-2024,21-05-2024,3,Yes,Software,Night,Agent19,Yes,5,Open
1656,30-10-2024,06-11-2024,3,No,Software,Evening,Agent11,No,3,Open
1657,20-10-2024,31-10-2024,3,Yes,Hardware,Morning,Agent14,No,3,Pending
1658,15-09-2024,21-09-2024,4,No,Hardware,Morning,Agent8,Yes,4,Closed
1659,17-10-2024,29-10-2024,4,No,Network,Evening,Agent14,Yes,2,Pending
1660,22-12-2024,06-01-2025,2,Yes,Account,Evening,Agent14,Yes,4,Open
1661,20-11-2024,27-11-2024,5,Yes,Software,Afternoon,Agent4,Yes,1,Pending
1662,11-07-2024,21-07-2024,4,No,Hardware,Afternoon,Agent1,Yes,1,Open
1663,03-09-2024,08-09-2024,1,No,Network,Night,Agent20,No,3,Pending
1664,10-09-2024,18-09-2024,3,No,Account,Afternoon,Agent14,Yes,2,Pending
1665,06-07-2024,16-07-2024,3,Yes,Account,Morning,Agent3,No,2,Closed
1666,25-12-2024,03-01-2025,2,No,Hardware,Morning,Agent5,No,1,Open
1667,03-01-2024,13-01-2024,5,No,Account,Evening,Agent18,Yes,4,Closed
1668,20-11-2024,24-11-2024,2,Yes,Hardware,Afternoon,Agent1,No,3,Closed
1669,17-07-2024,21-07-2024,2,Yes,Hardware,Afternoon,Agent1,Yes,5,Closed
1670,24-05-2024,30-05-2024,4,Yes,Account,Morning,Agent15,No,4,Open
1671,30-12-2024,14-01-2025,3,Yes,Hardware,Afternoon,Agent17,No,2,Open
1672,01-06-2024,06-06-2024,3,Yes,Hardware,Night,Agent12,No,4,Closed
1673,18-11-2024,25-11-2024,4,No,Network,Morning,Agent4,No,4,Pending
1674,07-03-2024,14-03-2024,4,No,Account,Morning,Agent2,Yes,1,Closed
1675,25-07-2024,29-07-2024,3,No,Hardware,Morning,Agent16,No,1,Closed
1676,28-01-2024,07-02-2024,3,Yes,Network,Night,Agent17,No,2,Open
1677,06-07-2024,12-07-2024,1,No,Software,Night,Agent12,No,3,Open
1678,27-12-2024,02-01-2025,5,No,Account,Morning,Agent15,No,1,Pending
1679,20-03-2024,25-03-2024,3,Yes,Hardware,Evening,Agent19,No,3,Closed
1680,05-11-2024,13-11-2024,5,No,Network,Evening,Agent17,Yes,1,Open
1681,16-09-2024,29-09-2024,1,No,Software,Evening,Agent7,Yes,2,Closed
1682,14-03-2024,19-03-2024,2,No,Hardware,Afternoon,Agent9,Yes,4,Pending
1683,05-05-2024,12-05-2024,1,Yes,Software,Evening,Agent15,No,3,Pending
1684,21-07-2024,27-07-2024,3,Yes,Account,Evening,Agent17,No,2,Open
1685,03-06-2024,17-06-2024,2,No,Account,Evening,Agent14,Yes,2,Pending
1686,09-06-2024,19-06-2024,5,Yes,Account,Afternoon,Agent7,No,2,Open
1687,05-04-2024,14-04-2024,1,Yes,Hardware,Night,Agent5,Yes,5,Closed
1688,31-05-2024,11-06-2024,5,No,Software,Evening,Agent9,No,4,Closed
1689,24-06-2024,09-07-2024,3,No,Network,Night,Agent16,No,1,Pending
1690,28-12-2024,08-01-2025,2,No,Account,Morning,Agent2,Yes,5,Pending
1691,24-12-2024,06-01-2025,2,No,Software,Morning,Agent7,No,3,Open
1692,27-09-2024,04-10-2024,3,Yes,Account,Night,Agent13,Yes,5,Closed
1693,24-11-2024,29-11-2024,3,Yes,Hardware,Afternoon,Agent13,Yes,2,Pending
1694,03-09-2024,17-09-2024,5,Yes,Hardware,Night,Agent18,Yes,4,Closed
1695,01-01-2024,06-01-2024,3,Yes,Hardware,Night,Agent14,No,3,Closed
1696,23-12-2024,01-01-2025,2,Yes,Network,Morning,Agent12,Yes,2,Open
1697,08-01-2024,12-01-2024,4,Yes,Account,Evening,Agent7,Yes,2,Pending
1698,20-02-2024,26-02-2024,1,Yes,Hardware,Morning,Agent1,Yes,2,Open
1699,30-12-2024,10-01-2025,2,No,Hardware,Night,Agent2,No,4,Open
1700,17-04-2024,29-04-2024,1,No,Network,Morning,Agent19,No,4,Open
1701,03-11-2024,17-11-2024,3,No,Account,Night,Agent17,Yes,2,Open
1702,09-06-2024,17-06-2024,2,Yes,Network,Morning,Agent15,Yes,1,Open
1703,22-11-2024,28-11-2024,3,No,Account,Afternoon,Agent18,Yes,5,Open
1704,04-05-2024,13-05-2024,3,Yes,Hardware,Afternoon,Agent20,Yes,4,Open
1705,07-10-2024,15-10-2024,2,Yes,Software,Morning,Agent15,Yes,2,Closed
1706,11-09-2024,15-09-2024,2,No,Network,Night,Agent20,No,2,Closed
1707,22-12-2024,27-12-2024,4,Yes,Account,Afternoon,Agent16,No,2,Closed
1708,04-12-2024,12-12-2024,5,Yes,Account,Night,Agent13,No,1,Open
1709,24-03-2024,02-04-2024,1,Yes,Network,Morning,Agent15,No,1,Closed
1710,23-02-2024,28-02-2024,5,Yes,Software,Morning,Agent18,No,5,Pending
1711,14-01-2024,20-01-2024,4,Yes,Hardware,Night,Agent18,Yes,3,Pending
1712,11-08-2024,18-08-2024,5,No,Account,Night,Agent12,Yes,1,Open
1713,29-07-2024,04-08-2024,4,No,Software,Evening,Agent17,Yes,3,Open
1714,11-05-2024,22-05-2024,5,No,Account,Afternoon,Agent3,Yes,1,Open
1715,30-04-2024,08-05-2024,5,Yes,Software,Morning,Agent5,Yes,2,Open
1716,09-03-2024,13-03-2024,3,No,Hardware,Evening,Agent19,No,3,Open
1717,24-04-2024,09-05-2024,2,Yes,Software,Afternoon,Agent10,Yes,3,Closed
1718,28-01-2024,03-02-2024,3,Yes,Account,Evening,Agent13,Yes,3,Closed
1719,14-04-2024,28-04-2024,3,Yes,Network,Afternoon,Agent11,No,2,Pending
1720,16-03-2024,20-03-2024,2,Yes,Hardware,Evening,Agent13,Yes,3,Open
1721,18-12-2024,29-12-2024,5,No,Network,Night,Agent16,Yes,4,Closed
1722,17-05-2024,24-05-2024,1,Yes,Software,Morning,Agent14,No,5,Pending
1723,15-12-2024,21-12-2024,2,Yes,Account,Morning,Agent3,No,4,Pending
1724,23-04-2024,06-05-2024,1,Yes,Hardware,Night,Agent14,Yes,1,Open
1725,18-12-2024,02-01-2025,5,Yes,Network,Evening,Agent7,No,1,Pending
1726,24-03-2024,08-04-2024,2,No,Network,Afternoon,Agent7,No,2,Pending
1727,27-01-2024,10-02-2024,1,Yes,Hardware,Night,Agent2,No,1,Closed
1728,21-12-2024,03-01-2025,2,Yes,Software,Morning,Agent2,No,4,Closed
1729,26-10-2024,07-11-2024,3,No,Software,Night,Agent20,No,2,Closed
1730,16-07-2024,29-07-2024,3,Yes,Hardware,Morning,Agent17,Yes,3,Pending
1731,09-08-2024,16-08-2024,2,Yes,Hardware,Afternoon,Agent13,Yes,3,Pending
1732,12-12-2024,23-12-2024,3,No,Account,Evening,Agent16,Yes,1,Closed
1733,21-06-2024,01-07-2024,5,No,Network,Afternoon,Agent13,No,5,Closed
1734,16-07-2024,20-07-2024,4,Yes,Software,Evening,Agent18,No,1,Pending
1735,04-09-2024,09-09-2024,4,Yes,Software,Morning,Agent1,Yes,4,Open
1736,20-03-2024,01-04-2024,4,Yes,Account,Night,Agent13,Yes,5,Pending
1737,24-04-2024,29-04-2024,5,No,Account,Afternoon,Agent16,Yes,4,Closed
1738,17-06-2024,29-06-2024,2,Yes,Network,Evening,Agent1,No,1,Pending
1739,03-02-2024,12-02-2024,1,Yes,Account,Afternoon,Agent20,Yes,2,Pending
1740,15-03-2024,25-03-2024,1,No,Software,Night,Agent1,Yes,4,Closed
1741,14-07-2024,19-07-2024,2,Yes,Hardware,Morning,Agent3,No,3,Pending
1742,26-08-2024,30-08-2024,4,No,Network,Morning,Agent15,Yes,5,Pending
1743,25-12-2024,05-01-2025,2,No,Hardware,Morning,Agent2,Yes,4,Pending
1744,13-12-2024,25-12-2024,2,Yes,Network,Morning,Agent16,No,2,Closed
1745,06-12-2024,20-12-2024,5,No,Software,Afternoon,Agent2,No,2,Pending
1746,30-07-2024,09-08-2024,4,Yes,Software,Night,Agent13,No,3,Open
1747,20-06-2024,25-06-2024,4,Yes,Account,Night,Agent2,Yes,4,Pending
1748,21-12-2024,26-12-2024,2,No,Hardware,Morning,Agent8,Yes,4,Open
1749,25-11-2024,08-12-2024,1,Yes,Account,Morning,Agent13,Yes,2,Closed
1750,24-08-2024,03-09-2024,1,Yes,Software,Afternoon,Agent14,Yes,3,Pending
1751,27-02-2024,05-03-2024,2,Yes,Network,Evening,Agent20,No,3,Closed
1752,24-08-2024,08-09-2024,1,No,Account,Evening,Agent14,Yes,4,Closed
1753,05-03-2024,14-03-2024,2,No,Hardware,Afternoon,Agent14,Yes,3,Open
1754,03-07-2024,13-07-2024,2,Yes,Account,Afternoon,Agent8,Yes,2,Pending
1755,12-09-2024,17-09-2024,5,Yes,Account,Afternoon,Agent11,No,3,Open
1756,29-05-2024,13-06-2024,5,No,Account,Morning,Agent8,No,5,Open
1757,15-07-2024,24-07-2024,3,No,Account,Night,Agent2,No,5,Open
1758,21-08-2024,31-08-2024,4,Yes,Network,Morning,Agent18,Yes,1,Open
1759,03-03-2024,13-03-2024,4,No,Account,Evening,Agent7,No,1,Open
1760,23-11-2024,06-12-2024,2,No,Network,Afternoon,Agent14,Yes,5,Open
1761,25-10-2024,06-11-2024,1,Yes,Account,Afternoon,Agent15,No,4,Pending
1762,16-09-2024,26-09-2024,1,Yes,Hardware,Night,Agent13,Yes,2,Pending
1763,21-06-2024,01-07-2024,1,No,Account,Evening,Agent9,No,5,Closed
1764,25-05-2024,31-05-2024,1,Yes,Account,Evening,Agent4,No,5,Closed
1765,25-07-2024,09-08-2024,1,No,Software,Afternoon,Agent11,Yes,1,Closed
1766,16-08-2024,27-08-2024,4,No,Hardware,Morning,Agent6,Yes,2,Pending
1767,02-02-2024,13-02-2024,5,No,Account,Night,Agent7,No,2,Pending
1768,31-01-2024,15-02-2024,2,Yes,Hardware,Morning,Agent17,No,5,Open
1769,18-03-2024,30-03-2024,1,Yes,Software,Evening,Agent14,No,3,Closed
1770,10-01-2024,23-01-2024,3,Yes,Hardware,Night,Agent4,Yes,3,Pending
1771,12-06-2024,24-06-2024,2,No,Hardware,Evening,Agent20,Yes,2,Closed
1772,15-05-2024,30-05-2024,3,Yes,Hardware,Evening,Agent9,No,2,Pending
1773,06-11-2024,11-11-2024,5,Yes,Hardware,Evening,Agent7,No,3,Open
1774,19-02-2024,28-02-2024,1,No,Software,Night,Agent3,No,4,Pending
1775,10-12-2024,14-12-2024,3,No,Account,Afternoon,Agent4,Yes,4,Open
1776,01-10-2024,12-10-2024,5,No,Network,Night,Agent14,No,4,Pending
1777,06-02-2024,11-02-2024,5,No,Network,Morning,Agent14,No,5,Closed
1778,25-01-2024,29-01-2024,4,No,Hardware,Morning,Agent15,No,3,Pending
1779,03-01-2024,09-01-2024,3,Yes,Network,Night,Agent12,No,4,Open
1780,02-03-2024,13-03-2024,1,No,Account,Morning,Agent6,Yes,3,Pending
1781,18-08-2024,26-08-2024,4,No,Hardware,Evening,Agent14,Yes,4,Open
1782,28-12-2024,10-01-2025,5,No,Software,Night,Agent1,No,3,Closed
1783,12-07-2024,25-07-2024,2,No,Account,Evening,Agent15,No,2,Open
1784,25-05-2024,01-06-2024,4,No,Account,Morning,Agent11,Yes,5,Open
1785,28-09-2024,11-10-2024,5,No,Account,Night,Agent14,No,1,Open
1786,29-09-2024,10-10-2024,2,Yes,Hardware,Afternoon,Agent2,Yes,5,Pending
1787,17-07-2024,27-07-2024,5,No,Hardware,Evening,Agent14,Yes,3,Pending
1788,21-07-2024,05-08-2024,1,No,Network,Night,Agent9,Yes,4,Pending
1789,24-12-2024,07-01-2025,4,Yes,Hardware,Afternoon,Agent3,No,1,Pending
1790,11-11-2024,23-11-2024,5,Yes,Hardware,Night,Agent7,No,3,Pending
1791,04-08-2024,15-08-2024,4,No,Software,Afternoon,Agent4,No,3,Pending
1792,27-01-2024,09-02-2024,5,No,Account,Evening,Agent10,Yes,4,Open
1793,27-11-2024,03-12-2024,4,Yes,Account,Night,Agent19,Yes,1,Open
1794,31-07-2024,08-08-2024,2,Yes,Network,Evening,Agent7,No,4,Closed
1795,06-12-2024,16-12-2024,1,No,Hardware,Afternoon,Agent18,No,2,Pending
1796,31-10-2024,13-11-2024,5,No,Hardware,Afternoon,Agent7,Yes,5,Open
1797,17-07-2024,30-07-2024,2,Yes,Software,Morning,Agent6,No,4,Pending
1798,11-04-2024,19-04-2024,4,No,Network,Afternoon,Agent20,No,2,Closed
1799,10-03-2024,19-03-2024,1,No,Account,Afternoon,Agent18,Yes,2,Pending
1800,17-06-2024,22-06-2024,4,No,Software,Afternoon,Agent5,Yes,1,Pending
1801,24-09-2024,07-10-2024,5,No,Hardware,Morning,Agent15,Yes,5,Open
1802,10-09-2024,18-09-2024,4,No,Hardware,Night,Agent14,No,5,Pending
1803,04-01-2024,16-01-2024,2,No,Hardware,Afternoon,Agent20,No,3,Pending
1804,13-09-2024,22-09-2024,5,No,Hardware,Night,Agent10,Yes,4,Closed
1805,09-10-2024,22-10-2024,2,Yes,Network,Afternoon,Agent20,No,5,Open
1806,09-02-2024,14-02-2024,5,Yes,Network,Evening,Agent18,Yes,4,Open
1807,24-07-2024,29-07-2024,2,Yes,Account,Evening,Agent18,Yes,3,Pending
1808,26-12-2024,10-01-2025,2,Yes,Hardware,Night,Agent5,Yes,3,Closed
1809,09-04-2024,17-04-2024,4,No,Account,Night,Agent17,Yes,5,Closed
1810,22-10-2024,26-10-2024,1,Yes,Account,Afternoon,Agent4,Yes,1,Closed
1811,31-03-2024,08-04-2024,3,Yes,Network,Night,Agent9,No,4,Closed
1812,12-12-2024,24-12-2024,2,Yes,Account,Night,Agent13,No,2,Pending
1813,26-02-2024,10-03-2024,4,Yes,Account,Morning,Agent11,Yes,3,Pending
1814,29-05-2024,03-06-2024,4,Yes,Hardware,Afternoon,Agent14,Yes,5,Open
1815,29-04-2024,05-05-2024,5,No,Software,Evening,Agent7,Yes,3,Closed
1816,13-03-2024,17-03-2024,3,No,Account,Afternoon,Agent2,No,1,Open
1817,08-09-2024,22-09-2024,2,Yes,Software,Afternoon,Agent8,No,2,Open
1818,21-07-2024,27-07-2024,1,Yes,Network,Evening,Agent3,No,3,Open
1819,28-02-2024,04-03-2024,2,No,Account,Night,Agent7,Yes,5,Open
1820,09-06-2024,13-06-2024,3,Yes,Account,Afternoon,Agent3,No,5,Open
1821,21-05-2024,02-06-2024,3,Yes,Account,Morning,Agent7,Yes,2,Open
1822,20-01-2024,30-01-2024,1,No,Software,Morning,Agent9,No,5,Pending
1823,25-09-2024,29-09-2024,5,Yes,Account,Afternoon,Agent11,Yes,1,Pending
1824,24-07-2024,31-07-2024,5,Yes,Software,Afternoon,Agent16,No,2,Pending
1825,19-07-2024,26-07-2024,4,No,Software,Afternoon,Agent17,Yes,3,Closed
1826,09-10-2024,23-10-2024,4,No,Network,Morning,Agent5,No,4,Open
1827,09-06-2024,24-06-2024,1,Yes,Network,Afternoon,Agent11,No,5,Closed
1828,19-10-2024,27-10-2024,4,Yes,Hardware,Night,Agent8,Yes,5,Closed
1829,01-05-2024,07-05-2024,1,No,Software,Evening,Agent20,No,1,Closed
1830,23-02-2024,02-03-2024,2,Yes,Software,Afternoon,Agent17,Yes,3,Open
1831,26-04-2024,05-05-2024,1,Yes,Software,Morning,Agent18,Yes,2,Closed
1832,23-07-2024,05-08-2024,4,Yes,Network,Morning,Agent1,No,4,Closed
1833,30-08-2024,05-09-2024,1,Yes,Network,Night,Agent17,No,1,Pending
1834,10-08-2024,20-08-2024,3,No,Network,Afternoon,Agent8,Yes,4,Open
1835,09-12-2024,24-12-2024,2,Yes,Software,Morning,Agent14,Yes,4,Open
1836,24-10-2024,30-10-2024,1,No,Hardware,Morning,Agent3,Yes,2,Pending
1837,06-08-2024,13-08-2024,5,No,Hardware,Afternoon,Agent10,Yes,5,Open
1838,16-05-2024,20-05-2024,4,Yes,Network,Morning,Agent15,No,5,Open
1839,07-05-2024,19-05-2024,2,Yes,Network,Morning,Agent3,No,3,Closed
1840,30-06-2024,04-07-2024,5,No,Account,Afternoon,Agent14,Yes,1,Closed
1841,07-02-2024,12-02-2024,1,No,Software,Morning,Agent5,No,2,Closed
1842,20-06-2024,28-06-2024,2,Yes,Hardware,Evening,Agent12,No,2,Open
1843,21-12-2024,25-12-2024,2,Yes,Account,Afternoon,Agent8,Yes,2,Open
1844,27-01-2024,07-02-2024,1,Yes,Software,Morning,Agent19,Yes,2,Open
1845,26-06-2024,06-07-2024,3,Yes,Account,Evening,Agent12,No,1,Pending
1846,24-10-2024,28-10-2024,4,Yes,Account,Evening,Agent3,Yes,5,Pending
1847,19-09-2024,28-09-2024,2,No,Network,Morning,Agent17,Yes,4,Closed
1848,18-08-2024,24-08-2024,1,No,Hardware,Morning,Agent5,Yes,2,Pending
1849,14-11-2024,29-11-2024,2,No,Network,Night,Agent6,No,3,Closed
1850,09-03-2024,24-03-2024,2,No,Hardware,Afternoon,Agent1,Yes,5,Closed
1851,04-10-2024,14-10-2024,4,No,Software,Afternoon,Agent8,No,1,Closed
1852,04-06-2024,12-06-2024,1,Yes,Software,Night,Agent2,Yes,1,Open
1853,24-10-2024,01-11-2024,1,No,Hardware,Morning,Agent3,Yes,2,Pending
1854,30-01-2024,06-02-2024,1,Yes,Software,Evening,Agent12,No,5,Open
1855,29-03-2024,02-04-2024,2,No,Account,Afternoon,Agent7,No,5,Open
1856,16-09-2024,26-09-2024,2,Yes,Software,Night,Agent13,No,1,Open
1857,23-01-2024,07-02-2024,4,No,Account,Afternoon,Agent9,Yes,1,Open
1858,31-01-2024,07-02-2024,1,Yes,Account,Morning,Agent13,Yes,5,Open
1859,22-03-2024,05-04-2024,1,Yes,Software,Morning,Agent5,Yes,2,Pending
1860,02-04-2024,08-04-2024,4,No,Software,Night,Agent3,Yes,3,Closed
1861,10-10-2024,14-10-2024,1,No,Software,Night,Agent2,No,2,Closed
1862,13-07-2024,26-07-2024,3,No,Software,Afternoon,Agent14,No,3,Open
1863,29-01-2024,12-02-2024,2,Yes,Account,Evening,Agent3,No,2,Closed
1864,10-01-2024,15-01-2024,1,Yes,Software,Evening,Agent16,Yes,3,Closed
1865,07-07-2024,13-07-2024,5,Yes,Hardware,Night,Agent16,Yes,4,Closed
1866,12-09-2024,19-09-2024,4,No,Account,Afternoon,Agent3,Yes,3,Open
1867,20-02-2024,01-03-2024,3,No,Software,Evening,Agent8,Yes,2,Closed
1868,30-08-2024,11-09-2024,2,Yes,Software,Afternoon,Agent12,Yes,4,Pending
1869,26-04-2024,08-05-2024,5,Yes,Hardware,Evening,Agent6,No,2,Open
1870,10-07-2024,20-07-2024,4,Yes,Software,Evening,Agent3,No,5,Pending
1871,22-05-2024,27-05-2024,2,Yes,Hardware,Night,Agent13,No,3,Open
1872,29-12-2024,03-01-2025,2,No,Account,Night,Agent9,Yes,2,Open
1873,11-12-2024,20-12-2024,2,Yes,Hardware,Evening,Agent6,No,4,Open
1874,15-02-2024,28-02-2024,2,No,Network,Morning,Agent16,Yes,1,Pending
